school,student,sex,score1,score2
50631,5191,1,36,66.6
60421,8,1,41,93.5
60421,17,1,33,76.8
60421,104,1,44,90.7
60421,140,0,57,65.7
60421,142,1,51,76.8
60427,15,0,26,49
60427,24,0,48,100
60427,50,0,46,86.1
60427,58,0,65,99
60427,83,0,46,95.3
60427,96,0,46,86.1
60427,112,0,45,93.5
60427,114,0,20,53.7
60427,210,1,71,100
60427,211,1,63,100
60427,223,1,52,100
60427,224,1,63,100
60427,234,1,33,77.7
60427,250,1,63,100
60427,255,1,36,98.1
60427,265,1,62,100
60427,295,1,25,89.8
60427,304,1,38,97.2
60427,308,1,65,100
60427,310,1,38,94.4
60427,316,1,27,71.2
60437,19,0,48,89.8
60437,49,0,48,99
60437,50,1,55,93.5
60437,60,1,48,95.3
60437,66,0,46,82.4
60437,69,0,53,89.8
60437,86,1,35,74
60437,99,1,70,91.6
60437,103,0,56,96.2
60437,104,1,46,90.7
60437,126,1,48,100
60437,129,0,64,84.2
60437,139,1,39,83.3
60437,148,0,45,87
60437,149,1,70,99
60437,153,0,53,99
60437,167,0,39,59.2
60437,194,1,46,84.2
60439,1009,0,46,87
60439,1012,1,41,60.1
60439,1031,1,53,86.1
60439,1037,0,55,71.2
60439,1094,1,58,77.7
60439,1120,0,64,86.1
60439,1123,0,73,81.4
60439,1133,1,76,84.2
60439,1152,1,60,61.1
60441,201,1,38,81.4
60441,204,1,41,66.6
60441,211,0,39,63.8
60441,222,1,45,75
60441,237,1,57,57.4
60441,241,0,46,59.2
60441,284,1,33,82.4
60441,290,1,46,79.6
60441,292,1,53,79.6
60441,293,1,51,70.3
60441,294,1,40,78.7
60441,297,1,21,58.3
60441,326,1,33,74
60441,330,0,44,53.7
60441,374,1,49,71.2
60441,377,0,56,62
60455,1003,1,44,84.2
60455,1008,0,37,62
60455,1009,0,20,48.1
60455,1010,0,63,59.2
60455,1011,1,53,93.5
60455,1016,1,61,89.8
60455,1017,1,62,93.5
60455,1018,1,64,92.5
60455,1020,1,39,75
60455,1021,0,57,68.5
60455,1022,1,60,94.4
60455,1023,0,61,56.4
60455,1027,1,53,94.4
60455,1030,1,63,96.2
60455,1035,1,33,57.4
60455,1037,1,68,96.2
60455,1047,0,41,57.4
60455,1049,1,43,82.4
60455,1055,0,56,85.1
60455,1057,1,48,84.2
60455,1060,1,69,87.9
60455,1065,1,25,61.1
60455,1074,1,52,89.8
60455,1079,0,48,64.8
60455,1081,1,45,95.3
60455,1083,0,59,97.2
60455,1091,1,48,95.3
60455,1098,0,48,79.6
60455,1108,0,60,86.1
60455,1116,1,45,90.7
60455,1130,1,53,87.9
60455,1135,0,61,93.5
60455,1137,1,40,79.6
60455,1144,1,48,83.3
60455,1145,0,43,71.2
60455,1149,0,55,83.3
60457,1,0,41,85.1
60457,3,1,60,100
60457,11,1,59,98.1
60457,12,0,20,81.4
60457,13,1,37,82.4
60457,18,0,62,98.1
60457,27,0,71,72.2
60457,31,1,37,90.7
60457,40,0,58,74
60457,43,0,52,78.7
60457,44,1,62,96.2
60457,48,0,63,77.7
60457,56,0,71,95.3
60457,62,1,53,89.8
60457,65,0,43,90.7
60457,70,0,60,95.3
60457,71,1,48,93.5
60457,76,1,58,92.5
60457,79,1,57,98.1
60457,81,0,43,60.1
60457,94,1,58,79.6
60457,110,1,53,95.3
60457,120,0,53,91.6
60457,121,0,50,59.2
60457,130,1,48,97.2
60457,132,0,52,81.4
60457,134,1,51,98.1
60457,142,1,69,99
60457,143,1,40,90.7
60457,151,0,58,83.3
60457,152,0,78,82.4
60457,155,0,34,54.6
60457,159,0,41,82.4
60457,163,1,43,84.2
60457,169,1,68,93.5
60457,174,0,70,72.2
60457,178,1,43,88.8
60457,184,0,64,78.7
60457,198,0,56,76.8
60457,210,0,70,84.2
60457,221,1,50,98.1
60457,222,0,41,87
60457,224,0,62,77.7
60457,231,1,46,96.2
60501,6,1,57,80.5
60501,26,0,61,88.8
60501,28,1,33,50
60501,30,0,41,72.2
60501,31,1,58,96.2
60501,36,0,43,44.4
60501,44,0,65,92.5
60501,46,0,44,69.4
60501,51,0,48,91.6
60501,52,1,60,96.2
60501,54,1,56,61.1
60501,58,1,51,92.5
60501,59,1,35,62.9
60501,66,1,36,87.9
60501,67,0,60,87.9
60501,78,1,48,66.6
60501,109,0,46,48.1
60501,110,1,55,94.4
60501,111,1,36,49
60501,116,0,43,67.5
60501,121,1,51,76.8
60501,146,1,45,88.8
60501,163,1,62,97.2
60729,264,0,46,82.4
60729,272,1,65,92.5
60729,302,0,56,86.1
60729,331,0,69,94.4
60729,337,1,53,94.4
60729,342,1,76,92.5
60741,4006,1,41,84.2
60741,4010,1,53,87.9
60741,4012,1,61,75.9
60741,4016,1,46,86.1
60741,4028,1,39,64.8
60741,4031,1,48,81.4
60741,4042,1,50,86.1
60741,4050,0,43,41.6
60741,4056,1,38,80.5
60741,4064,1,43,76.8
60741,4066,1,25,51.8
60741,4074,1,43,71.2
60741,4085,1,48,77.7
60741,4091,1,46,67.5
60741,4097,0,39,54.6
60741,4106,1,48,86.1
60741,4116,1,44,72.2
60741,4120,0,37,33.3
60741,4122,0,50,77.7
60741,4124,1,36,79.6
60741,4151,1,44,81.4
60741,4154,0,62,76.8
63619,4,0,61,73.1
63619,55,0,59,74
63619,59,0,48,71.2
63619,77,1,40,54.6
63833,5012,0,41,65.7
63833,5023,0,36,57.4
63833,5047,1,59,79.6
63833,5079,0,50,65.7
63833,5083,0,61,71.2
63833,5092,1,71,83.3
63833,5112,1,64,75.9
63833,5140,0,57,71.2
63833,5196,0,36,65.7
63833,5212,0,45,67.5
64251,1007,1,65,97.2
64251,1009,1,50,91.6
64251,1019,0,65,81.4
64251,1022,0,62,76.8
64251,1031,0,53,71.2
64251,1120,0,44,87
64251,1122,1,57,90.7
64251,1126,1,61,85.1
64251,1132,1,61,87
64251,1133,1,44,88.8
64251,1150,1,76,92.5
64251,1151,1,71,93.5
64251,1162,0,61,81.4
64251,1175,0,44,88.8
64251,1184,1,56,86.1
64251,1191,1,55,76.8
64251,1196,0,46,87
64251,1198,1,53,86.1
64251,1204,1,51,97.2
64251,1208,1,65,93.5
64251,1226,1,49,87
64251,1239,1,37,95.3
64251,1246,0,59,80.5
64251,1263,0,55,88.8
64251,1266,1,60,83.3
64251,1272,1,46,92.5
64321,5001,0,46,61.1
64321,5004,1,74,92.5
64321,5007,1,44,52.7
64321,5021,1,48,70.3
64321,5024,1,52,82.4
64321,5025,1,60,70.3
64321,5031,0,51,32.4
64321,5041,1,65,70.3
64321,5044,1,53,76.8
64321,5051,0,70,75
64321,5053,1,53,86.1
64321,5056,0,55,61.1
64321,5080,0,60,78.7
64321,5084,1,60,57.4
64321,5086,1,50,47.2
64321,5092,0,41,37
64321,5094,0,45,37.9
64321,5097,0,61,62
64321,5100,0,57,62
64321,5102,1,65,86.1
64321,5107,1,49,42.5
64321,5110,0,49,54.6
64321,5122,0,53,49
64321,5132,1,46,51.8
64321,5163,0,60,40.7
64321,5167,1,78,81.4
64327,10,0,39,65.7
64327,11,0,36,74
64327,19,1,11,87
64327,27,1,40,90.7
64327,40,0,44,75.9
64327,41,1,45,85.1
64327,48,0,53,78.7
64327,49,0,35,66.6
64327,56,0,55,70.3
64327,57,0,46,78.7
64327,59,1,52,83.3
64327,63,1,45,79.6
64327,76,0,37,74
64327,77,1,61,84.2
64327,78,1,46,87
64327,89,0,48,74
64327,90,0,55,82.4
64327,93,0,41,80.5
64327,118,1,48,93.5
64327,125,0,30,64.8
64327,126,0,41,68.5
64327,134,1,53,93.5
64327,137,1,41,83.3
64327,149,0,55,75
64327,158,0,53,83.3
64327,163,0,40,69.4
64327,177,0,53,89.8
64327,181,1,44,80.5
64343,2,0,38,78.7
64343,17,1,78,98.1
64343,24,1,62,100
64343,30,1,50,90.7
64343,36,1,55,80.5
64343,37,0,34,9.25
64343,42,0,73,82.4
64343,51,1,40,87.9
64343,52,1,41,99
64343,53,0,60,16.6
64343,55,1,39,94.4
64343,60,1,55,96.2
64343,65,1,63,100
64343,70,1,59,79.6
64343,76,1,60,90.7
64343,79,1,31,89.8
64343,85,1,45,98.1
64343,86,1,55,91.6
64343,87,1,61,98.1
64343,88,0,58,54.6
64343,100,1,68,100
64343,107,0,43,96.2
64343,112,1,30,25.9
64343,113,0,63,84.2
64343,121,0,71,80.5
64343,122,1,36,100
64343,124,0,37,57.4
64343,133,1,41,98.1
64343,138,0,59,46.2
64343,145,0,38,48.1
64343,192,1,51,85.1
64343,197,1,56,95.3
64359,238,0,70,96.2
64359,259,0,74,87
64359,262,0,45,77.7
64359,310,1,45,78.7
64359,412,1,34,58.3
64359,596,0,70,87.9
64359,637,0,70,90.7
64359,699,1,55,75.9
64359,720,1,53,87
64359,734,1,53,78.7
64359,757,1,63,89.8
64359,794,1,56,80.5
64428,91,1,36,93.5
64428,119,1,50,62.9
64428,1290,0,46,62.9
64428,1291,0,55,50.9
65385,41,1,60,91.6
65385,129,0,53,90.7
65385,151,0,51,76.8
65385,195,0,57,85.1
66365,46,0,44,62.9
66365,109,1,53,97.2
66365,116,1,26,73.1
66365,134,1,57,86.1
66365,138,1,43,85.1
67051,16,0,36,37
67051,50,1,45,87
67051,60,1,45,78.7
67051,81,1,20,50.9
67051,89,0,43,40.7
67051,115,1,45,89.8
67051,159,0,35,69.4
67051,175,0,46,67.5
67105,14,1,45,25.9
67105,34,1,74,55.5
67105,40,1,58,68.5
67105,60,1,62,18.5
67105,68,0,78,77.7
67105,72,1,53,52.7
67105,96,1,71,66.6
67105,99,1,46,59.2
67105,103,1,50,59.2
67105,116,1,53,61.1
67105,128,1,79,75.9
67105,131,1,45,82.4
67105,132,1,65,55.5
67105,146,1,53,48.1
67105,147,0,55,85.1
67105,155,1,64,38.8
67105,156,0,67,57.4
67105,160,0,60,74
67105,192,1,55,60.1
67105,193,1,60,86.1
67105,196,0,57,74
67105,201,1,58,83.3
67105,207,1,62,57.4
67105,208,0,66,79.6
67105,209,1,57,72.2
67311,6,1,34,81.4
67311,17,0,61,78.7
67311,36,0,55,74
67311,50,1,65,92.5
67311,70,0,39,92.5
67311,87,1,38,87.9
67311,130,1,36,90.7
67311,141,1,59,91.6
67311,144,0,58,93.5
68107,5,1,53,90.7
68107,12,1,53,97.2
68107,18,1,52,87.9
68107,22,1,51,88.8
68107,25,1,49,84.2
68107,26,1,78,93.5
68107,28,1,45,71.2
68107,37,0,68,87.9
68107,45,1,67,83.3
68107,65,0,41,61.1
68107,66,1,22,64.8
68107,70,1,49,70.3
68107,73,1,55,78.7
68107,77,1,30,75
68107,78,0,65,78.7
68107,80,1,43,80.5
68107,83,0,51,81.4
68107,87,0,44,64.8
68107,92,1,28,86.1
68107,96,1,38,79.6
68107,99,0,73,92.5
68107,101,1,62,91.6
68107,110,1,55,83.3
68107,118,0,46,82.4
68107,126,1,46,83.3
68107,128,1,49,74
68107,133,1,36,67.5
68107,138,1,55,86.1
68107,144,1,16,63.8
68107,146,1,35,68.5
68107,148,1,23,47.2
68107,153,1,34,68.5
68107,156,1,34,68.5
68107,160,1,65,86.1
68107,163,1,41,69.4
68107,168,0,41,66.6
68107,171,1,32,65.7
68107,172,0,60,77.7
68107,174,0,43,69.4
68107,179,1,44,91.6
68107,180,0,57,78.7
68107,184,0,49,65.7
68107,185,1,51,70.3
68107,187,0,45,74
68107,188,0,46,61.1
68107,191,1,37,62
68107,197,1,32,69.4
68107,201,1,28,67.5
68107,205,0,28,55.5
68107,206,1,43,62
68107,209,0,48,80.5
68107,210,0,39,67.5
68107,211,1,18,64.8
68107,212,0,59,69.4
68107,219,0,33,74
68107,220,0,30,50
68111,7,1,53,80.5
68111,8,1,48,76.8
68111,9,1,33,76.8
68111,22,0,58,75
68111,34,1,45,86.1
68111,38,1,44,82.4
68111,43,1,38,77.7
68111,46,1,60,94.4
68111,49,1,56,75.9
68111,56,1,55,73.1
68111,57,1,60,82.4
68111,69,1,46,79.6
68111,70,0,50,74
68111,76,1,40,61.1
68111,84,0,41,69.4
68111,85,0,39,59.2
68111,88,0,53,82.4
68111,92,0,41,71.2
68111,95,1,58,85.1
68111,99,0,53,63.8
68111,109,0,49,74
68111,113,1,60,89.8
68111,120,0,37,73.1
68111,121,0,55,85.1
68121,5000,1,52,77.7
68121,5002,0,46,78.7
68121,5014,1,38,92.5
68121,5024,1,43,86.1
68121,5036,1,38,53.7
68121,5039,1,33,59.2
68121,5070,1,33,37.9
68121,5075,1,35,88.8
68121,5080,1,43,83.3
68121,5095,1,52,98.1
68121,5107,0,55,61.1
68121,5117,1,45,96.2
68121,5124,1,39,41.6
68121,5131,1,41,61.1
68121,5132,0,51,72.2
68121,5146,1,67,94.4
68125,14,0,56,71.2
68125,15,0,56,91.6
68125,16,1,40,64.8
68125,18,1,55,98.1
68125,27,0,45,74
68125,41,1,60,93.5
68125,42,1,35,86.1
68125,45,1,25,61.1
68125,61,1,38,87.9
68125,63,0,32,82.4
68125,73,1,41,79.6
68125,74,1,41,80.5
68125,77,1,43,92.5
68125,91,0,49,57.4
68125,93,1,57,90.7
68125,96,1,44,25
68125,99,1,48,84.2
68125,101,1,38,75
68125,104,1,51,60.1
68125,105,1,76,93.5
68125,111,1,51,85.1
68125,116,0,30,9.25
68125,117,1,62,86.1
68125,121,1,37,69.4
68125,126,0,29,33.3
68125,127,1,36,91.6
68125,128,1,48,78.7
68125,131,1,37,84.2
68125,135,1,55,97.2
68125,136,1,56,90.7
68125,139,0,38,62
68125,145,1,62,90.7
68125,149,0,48,65.7
68125,156,0,52,78.7
68125,159,0,40,76.8
68125,174,1,56,88.8
68125,176,1,52,61.1
68125,183,1,53,78.7
68125,196,0,46,87
68125,208,0,39,79.6
68125,211,1,62,98.1
68125,213,1,64,91.6
68125,214,1,23,73.1
68125,215,1,43,84.2
68125,216,1,73,98.1
68133,5020,1,45,86.1
68133,5023,1,25,71.2
68133,5035,1,34,93.5
68133,5043,1,36,82.4
68133,5056,1,37,78.7
68133,5069,0,46,55.5
68133,5071,0,41,70.3
68133,5087,1,41,88.8
68133,5098,0,38,87.9
68133,5100,0,64,85.1
68133,5104,0,21,50.9
68133,5108,0,30,66.6
68133,5111,1,20,29.6
68133,5112,1,59,90.7
68133,5131,0,29,72.2
68133,5143,0,57,92.5
68133,5163,1,37,85.1
68133,5176,1,27,67.5
68133,5177,1,51,88.8
68133,5183,0,43,79.6
68133,5196,0,23,81.4
68133,5198,1,31,60.1
68133,5202,1,40,91.6
68133,5205,1,36,77.7
68133,5210,1,20,59.2
68133,5220,0,38,86.1
68133,5255,1,40,80.5
68133,5261,1,36,76.8
68133,5270,0,30,70.3
68133,5278,1,60,89.8
68133,5287,0,32,69.4
68133,5288,1,43,91.6
68133,5296,1,51,91.6
68133,5298,0,25,63.8
68137,1,1,18,56.4
68137,2,1,23,55.5
68137,4,1,29,73.1
68137,9,1,20,60.1
68137,11,1,34,63.8
68137,12,1,60,89.8
68137,13,1,44,76.8
68137,14,1,20,58.3
68137,16,1,16,52.7
68137,18,1,41,54.6
68137,22,1,34,85.1
68137,23,1,25,61.1
68137,24,1,51,73.1
68137,25,1,23,75
68137,26,1,18,75.9
68137,27,1,36,69.4
68137,28,1,38,72.2
68137,34,1,13,55.5
68137,38,1,53,82.4
68137,39,1,18,47.2
68137,41,1,18,56.4
68137,42,1,36,83.3
68137,43,1,51,64.8
68137,45,1,18,49
68137,46,1,44,84.2
68137,48,1,27,78.7
68137,49,1,35,61.1
68137,50,1,34,83.3
68137,52,1,23,27.7
68137,54,1,22,54.6
68137,56,1,32,73.1
68137,59,1,59,89.8
68137,62,1,36,69.4
68137,64,1,23,74
68137,65,1,2.5,50
68137,67,1,39,64.8
68137,69,1,23,76.8
68137,70,1,41,67.5
68137,74,1,21,81.4
68137,75,1,14,31.4
68137,77,1,18,60.1
68137,78,1,13,54.6
68137,79,1,7.5,27.7
68137,80,1,4.3,50.9
68137,81,1,23,54.6
68137,82,1,30,80.5
68137,83,1,30,84.2
68137,84,1,14,28.7
68137,85,1,11,27.7
68137,86,1,41,70.3
68137,87,1,39,76.8
68137,91,1,16,76.8
68137,92,1,13,62
68137,96,1,18,32.4
68137,97,1,11,57.4
68137,100,1,11,61.1
68137,101,1,33,72.2
68137,207,0,32,52.7
68137,208,0,25,59.2
68137,209,0,11,37
68137,212,0,34,54.6
68137,214,0,23,51.8
68137,215,0,25,60.1
68137,221,0,48,85.1
68137,222,0,20,73.1
68137,223,0,34,65.7
68137,226,0,32,62.9
68137,228,0,23,43.5
68137,231,0,25,55.5
68137,233,0,30,37
68137,234,0,33,49
68137,237,0,37,69.4
68137,239,0,36,63.8
68137,242,0,18,42.5
68137,243,0,27,57.4
68137,251,0,41,67.5
68137,255,0,36,62
68137,258,0,23,61.1
68137,261,0,46,89.8
68137,264,0,50,70.3
68137,268,0,15,43.5
68137,272,0,43,78.7
68137,273,0,35,60.1
68201,3,0,82,92.5
68201,5,1,79,88.8
68201,11,1,50,71.2
68201,14,0,60,61.1
68207,7,1,32,58.3
68207,84,1,25,41.6
68207,101,1,23,62.9
68207,126,1,26,57.4
68217,1,0,41,70.3
68217,3,0,37,43.5
68217,16,0,31,44.4
68217,71,1,49,95.3
68217,75,1,32,74
68217,83,1,20,76.8
68217,87,1,30,88.8
68217,94,1,36,72.2
68217,100,1,43,84.2
68217,101,1,41,82.4
68217,106,1,45,73.1
68217,110,1,26,86.1
68217,112,1,50,87
68217,114,1,32,85.1
68217,118,1,30,74
68217,121,1,48,94.4
68217,125,1,38,62
68227,3,0,56,76.8
68227,13,0,60,79.6
68227,15,0,39,76.8
68227,20,0,35,70.3
68227,21,0,38,76.8
68227,28,0,50,61.1
68227,30,0,36,10.1
68227,44,0,36,70.3
68227,46,0,41,87
68227,50,0,46,57.4
68227,55,0,41,62.9
68227,80,1,44,70.3
68227,84,1,40,62
68227,123,1,32,76.8
68233,405,1,30,78.7
68233,408,0,37,43.5
68233,422,0,39,67.5
68233,428,0,51,67.5
68233,434,0,32,44.4
68233,436,0,41,65.7
68233,438,1,23,47.2
68233,440,1,32,74
68233,441,1,65,92.5
68233,442,1,35,58.3
68233,444,1,66,90.7
68233,448,1,25,41.6
68233,455,0,33,39.8
68233,457,0,14,23.1
68233,466,1,27,50
68233,467,1,60,85.1
68233,469,1,41,51.8
68233,470,1,37,55.5
68233,471,1,43,88.8
68233,473,1,31,60.1
68233,480,0,38,47.2
68233,484,0,35,50
68233,487,0,35,64.8
68233,490,1,45,85.1
68233,498,1,73,89.8
68233,501,1,18,68.5
68233,652,1,43,71.2
68233,921,0,58,50
68233,1052,1,30,52.7
68237,7,0,48,67.5
68237,11,1,48,83.3
68237,18,0,55,62.9
68237,32,1,61,87
68237,36,1,60,99
68237,41,1,55,86.1
68237,42,1,38,82.4
68237,62,0,49,77.7
68237,71,1,46,73.1
68237,73,0,56,75.9
68237,75,0,46,80.5
68237,84,0,48,65.7
68237,87,0,53,86.1
68237,110,0,46,74
68237,126,0,49,72.2
68237,128,0,46,92.5
68237,129,1,59,65.7
68237,134,0,41,74
68237,153,1,61,87
68237,158,1,38,66.6
68237,162,0,53,78.7
68237,164,1,39,52.7
68237,178,1,43,66.6
68237,185,1,46,90.7
68237,188,0,66,77.7
68237,197,0,51,81.4
68237,208,1,71,94.4
68237,212,0,52,87
68241,1004,1,53,88.8
68241,1012,1,48,76.8
68241,1020,1,61,70.3
68241,1031,1,53,87
68241,1032,1,53,90.7
68241,1056,1,46,59.2
68241,1066,1,33,63.8
68241,1070,1,49,58.3
68241,1072,1,41,79.6
68241,1073,1,53,74
68241,1074,1,39,75.9
68241,1076,0,49,46.2
68241,1095,0,70,86.1
68241,1117,0,56,75.9
68255,1,0,38,50.9
68255,2,0,55,84.2
68255,6,0,48,86.1
68255,9,0,46,78.7
68255,10,0,55,87.9
68255,24,0,53,93.5
68255,28,0,68,95.3
68255,35,0,65,80.5
68255,43,0,43,78.7
68255,53,0,62,84.2
68255,56,0,51,78.7
68255,63,0,51,83.3
68255,67,0,66,98.1
68255,70,1,50,90.7
68255,79,1,61,88.8
68255,83,1,53,94.4
68255,89,1,61,80.5
68255,98,1,60,92.5
68255,102,1,53,88.8
68255,106,1,43,90.7
68255,110,1,58,75.9
68255,116,1,55,85.1
68255,118,1,53,92.5
68271,48,1,31,62.9
68271,75,1,44,56.4
68271,90,1,36,49
68271,102,0,25,41.6
68271,141,0,45,62
68271,160,1,36,89.8
68271,169,1,43,84.2
68271,170,0,56,89.8
68271,241,1,36,79.6
68271,246,1,36,73.1
68303,9,0,44,63.8
68303,18,0,67,85.1
68303,31,0,55,58.3
68303,32,0,60,83.3
68303,49,1,45,42.5
68303,50,0,41,54.6
68303,63,0,48,71.2
68303,64,1,62,84.2
68303,86,1,46,69.4
68303,93,1,40,67.5
68303,96,0,56,65.7
68303,100,0,71,95.3
68303,101,0,48,85.1
68303,106,0,37,67.5
68303,110,1,51,84.2
68303,113,0,67,69.4
68303,117,0,48,61.1
68303,120,0,35,51.8
68303,128,1,32,55.5
68303,138,1,57,79.6
68303,141,1,43,57.4
68303,153,0,50,39.8
68303,157,1,55,75
68303,161,1,43,54.6
68303,167,1,28,62
68303,168,1,53,79.6
68303,169,1,36,66.6
68303,175,0,52,62
68303,176,1,63,69.4
68303,178,0,65,76.8
68303,192,1,56,63.8
68303,193,0,55,73.1
68303,195,0,56,60.1
68303,197,0,59,65.7
68303,199,0,46,56.4
68321,5001,1,51,78.7
68321,5005,1,41,83.3
68321,5021,1,51,77.7
68321,5023,0,43,97.2
68321,5031,0,64,97.2
68321,5033,0,57,91.6
68321,5034,1,31,73.1
68321,5035,1,48,83.3
68321,5040,0,43,73.1
68321,5041,1,39,58.3
68321,5042,0,68,63.8
68321,5053,0,40,69.4
68321,5058,0,39,82.4
68321,5059,1,55,73.1
68321,5067,0,52,72.2
